product_category_name,review_score,order_item_id,customer_city,order_purchase_timestamp
cool_stuff,5,1,campos dos goytacazes,9/13/2017 8:59
pet_shop,4,1,santa fe do sul,4/26/2017 10:53
moveis_decoracao,5,1,para de minas,1/14/2018 14:33
perfumaria,4,1,atibaia,8/8/2018 10:00
ferramentas_jardim,5,1,varzea paulista,2/4/2017 13:57
utilidades_domesticas,4,1,uberaba,5/15/2017 21:42
telefonia,4,1,guararapes,12/10/2017 11:53
ferramentas_jardim,5,1,praia grande,7/4/2018 12:08
beleza_saude,1,1,santos,3/19/2018 18:40
livros_tecnicos,4,1,jandira,7/2/2018 13:59
beleza_saude,5,1,piracicaba,3/24/2018 22:16
fashion_bolsas_e_acessorios,5,1,monte alto,7/27/2018 17:21
cama_mesa_banho,5,1,rio de janeiro,7/24/2018 17:04
ferramentas_jardim,5,1,jandira,2/13/2018 22:10
ferramentas_jardim,5,2,jandira,2/13/2018 22:10
esporte_lazer,5,1,alfenas,8/14/2018 20:43
consoles_games,4,1,campinas,4/25/2018 9:10
perfumaria,1,1,santa barbara d'oeste,5/11/2018 20:33
esporte_lazer,5,1,jundiai,8/12/2017 10:08
cool_stuff,3,1,cubatao,2/22/2018 11:54
cama_mesa_banho,3,1,sao paulo,3/23/2018 19:48
telefonia,3,1,santa cruz do rio pardo,11/21/2017 18:54
moveis_escritorio,4,1,volta redonda,3/7/2018 10:33
fashion_bolsas_e_acessorios,4,1,ivaipora,2/27/2018 9:27
cool_stuff,5,1,rio de janeiro,9/11/2017 17:39
esporte_lazer,5,1,nova iguacu,8/6/2017 0:42
malas_acessorios,4,1,sao paulo,1/16/2018 21:43
moveis_decoracao,5,1,anapolis,3/23/2017 12:21
alimentos,5,1,sao bernardo do campo,6/11/2018 21:17
moveis_decoracao,5,1,osasco,12/5/2017 23:40
agro_industria_e_comercio,4,1,rio de janeiro,11/24/2017 16:50
moveis_decoracao,2,1,ituiutaba,4/7/2018 18:51
telefonia,5,1,pinhais,5/22/2017 13:49
eletronicos,5,1,pato bragado,1/14/2018 9:01
cama_mesa_banho,1,1,rio de janeiro,1/16/2018 9:26
ferramentas_jardim,5,1,canavieiras,4/28/2017 19:54
informatica_acessorios,1,1,campo alegre,4/6/2017 22:16
cool_stuff,5,1,cunha,2/6/2018 19:11
moveis_decoracao,5,1,monte siao,3/6/2018 6:40
eletronicos,4,1,salvador,12/27/2017 0:38
eletronicos,4,2,salvador,12/27/2017 0:38
eletronicos,4,3,salvador,12/27/2017 0:38
construcao_ferramentas_construcao,5,1,cubatao,7/4/2018 11:39
informatica_acessorios,5,1,santa salete,3/26/2018 17:42
cama_mesa_banho,2,1,sao paulo,11/24/2017 19:19
beleza_saude,1,1,sao paulo,5/14/2017 17:19
beleza_saude,1,2,sao paulo,5/14/2017 17:19
pet_shop,5,1,itapicuru,5/17/2017 23:19
cama_mesa_banho,5,1,santos dumont,1/28/2017 13:17
informatica_acessorios,5,1,campo grande,3/18/2017 11:47
beleza_saude,1,1,coromandel,5/19/2018 10:29
moveis_decoracao,4,1,guaratuba,11/28/2017 9:32
moveis_decoracao,5,1,volta redonda,8/15/2017 2:45
audio,4,1,araraquara,4/22/2018 12:13
esporte_lazer,5,1,sao bernardo do campo,3/31/2018 16:41
livros_tecnicos,5,1,governador valadares,3/27/2018 16:25
bebes,5,1,fortaleza,5/8/2018 21:45
informatica_acessorios,4,1,belo horizonte,12/27/2017 17:52
esporte_lazer,5,1,amanari,7/8/2018 9:17
informatica_acessorios,4,1,brasilia,2/27/2018 17:46
telefonia,5,1,porto alegre,2/2/2017 21:18
cool_stuff,4,1,sao paulo,10/27/2017 21:10
telefonia,5,1,sao paulo,11/24/2017 23:10
moveis_decoracao,4,1,cambe,2/13/2018 11:47
telefonia,5,1,recife,7/23/2018 17:26
construcao_ferramentas_iluminacao,4,1,canoas,8/15/2018 14:59
perfumaria,5,1,manhuacu,12/18/2017 13:43
beleza_saude,4,1,guarulhos,8/25/2018 0:09
brinquedos,5,1,umuarama,5/2/2018 11:59
moveis_decoracao,4,1,sao bento do sul,2/18/2018 18:46
cool_stuff,5,1,ituiutaba,6/20/2017 21:55
papelaria,5,1,sao paulo,3/11/2018 10:24
utilidades_domesticas,4,1,sao paulo,5/14/2018 16:57
utilidades_domesticas,4,2,sao paulo,5/14/2018 16:57
perfumaria,3,1,pinhais,11/19/2017 19:16
moveis_decoracao,5,1,sao paulo,7/2/2018 16:51
cama_mesa_banho,3,1,camacari,3/21/2018 13:05
consoles_games,5,1,porto alegre,8/4/2017 9:19
brinquedos,5,2,porto alegre,8/4/2017 9:19
utilidades_domesticas,1,1,rio de janeiro,11/24/2017 20:03
bebes,5,1,belo horizonte,3/25/2018 16:52
utilidades_domesticas,1,1,belo horizonte,8/15/2018 14:29
industria_comercio_e_negocios,5,1,toledo,4/10/2018 1:14
utilidades_domesticas,1,1,rio de janeiro,3/10/2018 18:53
malas_acessorios,1,1,diamantina,5/18/2017 19:04
malas_acessorios,1,2,diamantina,5/18/2017 19:04
pet_shop,5,1,rio de janeiro,4/25/2018 21:47
cama_mesa_banho,5,1,sao paulo,9/25/2017 17:39
cama_mesa_banho,5,2,sao paulo,9/25/2017 17:39
ferramentas_jardim,3,1,medeiros neto,7/8/2018 11:28
beleza_saude,5,1,mogi-guacu,8/20/2018 11:06
cama_mesa_banho,5,1,sao paulo,8/17/2017 0:57
cama_mesa_banho,5,1,sao paulo,8/17/2017 0:57
cool_stuff,4,1,campinas,11/24/2017 1:08
moveis_decoracao,5,1,sao paulo,2/21/2018 2:46
moveis_escritorio,2,1,bauru,7/19/2018 14:58
brinquedos,5,1,belo horizonte,10/13/2017 0:04
esporte_lazer,4,1,sao paulo,2/2/2018 19:39
perfumaria,5,1,rio de janeiro,6/13/2018 14:10
perfumaria,5,2,rio de janeiro,6/13/2018 14:10
esporte_lazer,5,1,maceio,7/6/2018 10:37
utilidades_domesticas,5,1,brasilia,8/19/2018 12:51
construcao_ferramentas_construcao,1,1,campo grande,8/3/2018 14:52
utilidades_domesticas,5,1,sao paulo,8/3/2018 19:33
informatica_acessorios,3,1,barueri,3/17/2018 17:50
relogios_presentes,4,1,imperatriz,11/17/2017 19:43
beleza_saude,4,1,sao paulo,8/19/2018 19:43
telefonia,5,1,vitoria do mearim,7/7/2018 9:02
informatica_acessorios,1,1,rio de janeiro,2/21/2018 16:59
informatica_acessorios,1,2,rio de janeiro,2/21/2018 16:59
relogios_presentes,5,1,ribeirao pires,2/6/2018 13:06
relogios_presentes,5,1,sao paulo,5/7/2018 22:38
informatica_acessorios,2,1,salvador,1/22/2018 23:50
moveis_decoracao,5,1,fortaleza,5/21/2017 13:13
relogios_presentes,1,1,osasco,10/3/2017 20:43
utilidades_domesticas,5,1,aguas lindas de goias,7/4/2018 6:45
eletronicos,4,1,sao paulo,5/18/2018 16:59
beleza_saude,5,1,sao jose dos campos,8/10/2017 16:13
automotivo,5,1,nova serrana,6/10/2018 11:23
consoles_games,5,1,nova lima,5/29/2018 19:22
Unknown,5,1,sao paulo,9/26/2017 15:24
moveis_decoracao,5,1,brasilia,9/21/2017 22:00
Unknown,5,1,juiz de fora,2/13/2017 16:18
ferramentas_jardim,1,1,rio de janeiro,12/30/2017 12:33
beleza_saude,5,1,sao paulo,7/4/2018 20:34
telefonia,5,1,santa fe do sul,12/25/2017 20:40
perfumaria,5,1,belem,6/6/2018 18:30
papelaria,5,1,matao,12/20/2017 6:42
esporte_lazer,5,1,rio de janeiro,8/2/2017 15:32
Unknown,3,1,corumba,2/27/2018 12:16
cool_stuff,5,1,bom jesus da lapa,11/25/2017 13:56
cool_stuff,5,1,ourinhos,6/11/2017 9:46
cama_mesa_banho,3,1,porto real,2/5/2018 18:25
cama_mesa_banho,3,2,porto real,2/5/2018 18:25
alimentos,1,1,ferraz de vasconcelos,8/7/2018 22:03
alimentos,1,2,ferraz de vasconcelos,8/7/2018 22:03
alimentos,1,3,ferraz de vasconcelos,8/7/2018 22:03
alimentos,1,4,ferraz de vasconcelos,8/7/2018 22:03
informatica_acessorios,5,1,rio de janeiro,2/19/2018 21:47
Unknown,4,1,sinop,1/18/2018 17:05
perfumaria,5,1,belo horizonte,5/18/2017 20:59
perfumaria,5,2,belo horizonte,5/18/2017 20:59
telefonia,5,1,sao paulo,7/23/2017 19:11
telefonia,1,1,ipixuna do para,8/18/2017 16:02
beleza_saude,5,1,praia grande,4/10/2018 18:01
relogios_presentes,5,1,sete lagoas,2/9/2018 18:00
informatica_acessorios,5,1,bage,4/9/2017 13:35
esporte_lazer,5,1,sao bernardo do campo,4/15/2017 16:35
brinquedos,1,1,sao jose do rio pardo,10/18/2017 12:14
bebes,1,2,sao jose do rio pardo,10/18/2017 12:14
bebes,1,3,sao jose do rio pardo,10/18/2017 12:14
informatica_acessorios,3,1,itajai,2/21/2018 11:37
esporte_lazer,5,1,carapicuiba,3/4/2018 14:40
relogios_presentes,5,1,belem,11/1/2017 17:45
brinquedos,4,1,goiania,7/26/2018 13:35
relogios_presentes,5,1,sao paulo,3/8/2018 16:01
cool_stuff,5,1,niteroi,9/10/2017 21:45
eletrodomesticos,5,1,sao paulo,2/23/2018 14:36
moveis_cozinha_area_de_servico_jantar_e_jardim,4,1,sao paulo,9/24/2017 13:12
bebes,5,1,nilopolis,6/10/2018 19:52
cama_mesa_banho,5,1,sao paulo,4/27/2018 21:36
eletronicos,5,1,nova iguacu,11/24/2017 22:25
moveis_decoracao,1,1,espumoso,8/27/2017 21:41
climatizacao,1,1,cuiaba,1/22/2018 19:46
climatizacao,1,2,cuiaba,1/22/2018 19:46
esporte_lazer,5,1,porto alegre,9/29/2017 11:24
informatica_acessorios,5,1,sao paulo,7/18/2018 10:46
brinquedos,5,1,curitiba,8/6/2018 16:12
Unknown,5,1,brasilia,2/17/2018 14:22
brinquedos,5,1,itapura,8/14/2017 20:28
fashion_bolsas_e_acessorios,5,1,sao paulo,12/2/2017 1:20
esporte_lazer,5,1,sao paulo,8/13/2018 13:59
relogios_presentes,4,1,santa luzia,12/27/2017 21:50
ferramentas_jardim,5,1,guaruja,5/11/2017 0:24
casa_conforto,4,1,sao paulo,4/10/2018 19:17
beleza_saude,2,1,serrana,3/22/2018 22:52
brinquedos,5,1,sao paulo,7/25/2017 11:42
utilidades_domesticas,4,1,sao paulo,1/22/2018 11:08
brinquedos,4,1,iguape,5/14/2018 13:44
relogios_presentes,5,1,maua,11/12/2017 9:50
relogios_presentes,5,1,sao jose do rio preto,1/30/2018 18:08
esporte_lazer,4,1,indaiatuba,4/24/2017 10:53
beleza_saude,5,1,rio de janeiro,6/28/2017 23:31
moveis_decoracao,5,1,anapolis,11/6/2017 15:42
esporte_lazer,5,1,sao paulo,5/3/2018 18:55
cama_mesa_banho,5,1,sao paulo,4/24/2018 10:37
cama_mesa_banho,4,1,rio de janeiro,9/23/2017 8:32
eletronicos,2,1,itaberai,2/20/2018 11:31
esporte_lazer,5,1,gramado,11/24/2017 13:05
moveis_decoracao,5,1,belo horizonte,2/3/2018 17:46
telefonia,3,1,curitiba,8/11/2017 17:43
informatica_acessorios,2,1,cotia,2/14/2018 22:19
cama_mesa_banho,5,1,santa cruz do sul,11/8/2017 13:38
cama_mesa_banho,3,1,rio de janeiro,7/5/2017 13:14
informatica_acessorios,1,1,porto alegre,3/14/2018 23:57
eletrodomesticos,4,1,gravatai,3/14/2018 22:53
bebes,5,1,sao paulo,8/13/2017 16:44
perfumaria,5,1,campinas,10/23/2017 11:03
relogios_presentes,3,1,sao paulo,8/4/2018 21:40
esporte_lazer,5,1,brasilia,5/14/2017 17:19
informatica_acessorios,5,1,macae,5/11/2018 19:20
beleza_saude,1,1,brumadinho,4/2/2018 9:33
beleza_saude,1,1,bariri,4/29/2018 20:26
informatica_acessorios,4,1,sorocaba,3/4/2018 23:15
beleza_saude,5,1,sao paulo,5/18/2018 20:42
cama_mesa_banho,3,1,sao paulo,8/8/2018 7:52
brinquedos,5,1,vila velha,6/4/2018 8:57
brinquedos,5,2,vila velha,6/4/2018 8:57
automotivo,5,1,sao luis,1/6/2018 11:22
cama_mesa_banho,1,1,bauru,3/20/2018 20:31
utilidades_domesticas,5,1,rio de janeiro,7/10/2017 20:42
automotivo,5,1,foz do iguacu,6/30/2018 11:39
beleza_saude,5,1,lagoa santa,2/22/2017 10:37
relogios_presentes,4,1,campinas,8/24/2018 13:27
utilidades_domesticas,5,1,sao paulo,6/13/2018 13:55
automotivo,5,1,camboriu,11/11/2017 13:05
pet_shop,4,1,osasco,12/9/2017 19:11
pet_shop,4,2,osasco,12/9/2017 19:11
construcao_ferramentas_construcao,5,1,sao paulo,6/25/2018 21:14
perfumaria,1,1,praia grande,5/1/2018 2:04
esporte_lazer,5,1,papanduva,1/24/2018 22:05
consoles_games,4,1,rio de janeiro,3/7/2017 21:48
relogios_presentes,5,1,sao luis,11/15/2017 13:36
automotivo,4,1,sao paulo,7/11/2018 13:33
informatica_acessorios,2,1,santo andre,10/24/2017 15:15
